ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
1,AGUASCALIENTES,1,RINCON DE ROMOS,28,88,89,11485,2335,924,,1967,2995,12322,32028,6,1321,33355,54392,
1,AGUASCALIENTES,2,ASIENTOS,25,86,86,12711,1713,2250,634,3794,1172,12755,35029,4,1508,36541,55783,
1,AGUASCALIENTES,3,PABELLON DE ARTEAGA,34,98,99,9185,8113,4084,5159,1867,,9582,37990,12,1783,39785,59772,
1,AGUASCALIENTES,4,SAN FRANCISCO DE LOS ROMO,25,99,101,9549,8296,842,943,604,2563,12898,35695,16,1533,37244,64007,
1,AGUASCALIENTES,5,AGUASCALIENTES,22,86,87,12628,1498,766,1078,656,2565,9255,28446,25,1111,29582,54413,
1,AGUASCALIENTES,6,AGUASCALIENTES,47,113,114,29558,2779,750,995,390,2713,8035,45220,56,1187,46463,66979,
1,AGUASCALIENTES,7,JESUS MARIA,10,96,98,21023,2719,1036,1108,513,2985,8628,38012,61,1306,39379,65771,
1,AGUASCALIENTES,8,CALVILLO,36,109,111,16529,1829,866,1485,799,1723,10274,33505,21,1705,35231,64951,
1,AGUASCALIENTES,9,AGUASCALIENTES,30,94,97,15286,2053,692,855,529,2800,9468,31683,25,1339,33047,57181,
1,AGUASCALIENTES,10,AGUASCALIENTES,39,98,100,20792,2400,866,1267,548,2267,8952,37092,29,1299,38420,58374,
1,AGUASCALIENTES,11,AGUASCALIENTES,78,139,142,22911,2955,1093,1195,655,3186,12997,44992,17,1798,46807,71102,
1,AGUASCALIENTES,12,AGUASCALIENTES,25,83,83,7873,1339,965,781,450,1764,9102,22274,29,1139,23442,51272,
1,AGUASCALIENTES,13,AGUASCALIENTES,35,105,106,13891,1928,1250,1341,706,2683,11415,33214,19,1701,34934,62288,
1,AGUASCALIENTES,14,AGUASCALIENTES,45,111,113,19679,2250,1126,1371,548,4572,10903,40449,41,1502,41992,65388,
1,AGUASCALIENTES,15,AGUASCALIENTES,45,116,118,14963,2062,1412,1127,688,2872,12884,36008,37,1621,37666,63406,
1,AGUASCALIENTES,16,AGUASCALIENTES,25,90,91,9904,1368,1911,1098,567,2192,10055,27095,65,1284,28444,54829,
1,AGUASCALIENTES,17,AGUASCALIENTES,79,134,137,22080,2463,1056,1110,568,2746,11541,41564,37,1609,43210,69164,
1,AGUASCALIENTES,18,AGUASCALIENTES,35,97,98,11842,1596,700,968,549,2592,10214,28461,27,1359,29847,58295,
